track_id,track_artist,track_popularity,track_album_id,track_album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_album_release_date_converted,track_album_release_date_year,playlist_count_per_song,duration_minutes,playlist_genre_count_per_song
0yfu8xnnkr0ium4nrmwctb,odd chap,39,7ra6itmgoezjntkgjh41hl,2018-04-04,0.822,0.891,1,-5.104,0,0.0641,0.213,0.464,0.0851,0.72,104.01,2018-04-04,2018.0,1,3.38,1
0yfnxxlyxdmp0ue1ijijx1,duran duran,66,0pqcktvkfjxzr9uujq7a3t,1993-02-15,0.542,0.793,8,-8.203,1,0.053,0.0423,3.95e-06,0.0814,0.708,173.931,1993-02-15,1993.0,1,4.28,1
0yf6orr6kv4ien6t78xkbz,artifacts,53,0x4zqdtax3vyqp8zcd4bce,1994-10-25,0.861,0.56,1,-9.974,1,0.299,0.148,2.7e-05,0.439,0.634,88.299,1994-10-25,1994.0,1,4.34,1
0yezcdhqddv8dea9oxwi6k,upchurch,59,3ghxwrvonzm01jbtorrvmt,2016-12-09,0.625,0.538,0,-9.805,1,0.0317,0.00819,0.0,0.361,0.222,130.07,2016-12-09,2016.0,1,3.91,1
0yeykmkpg8ktvyj753j3jg,tk soul,36,4z1womt5zrvvgfe969bbfr,2014-02-04,0.682,0.616,2,-6.218,0,0.0494,0.0788,0.0,0.123,0.468,142.969,2014-02-04,2014.0,1,4.25,1
0yesfwqpg7ofdiihwa0dhi,austin mahone,71,0dcqvluuyfbcsccqh7uawx,,0.708,0.647,11,-6.128,1,0.0298,0.117,0.0,0.111,0.654,129.95,01/01/2014,,1,3.56,1
0yelbfu0gjpmeoxjvahtd7,goldlink,21,5qv3yfcnrazqr5uymlhtf9,2015-04-28,0.775,0.719,5,-8.613,0,0.447,0.0957,0.0,0.0962,0.853,107.677,2015-04-28,2015.0,1,3.0,1
0ye1olmyvb2rljz4vlyvwi,the chainsmokers,51,4uybsoe9s5fayvvuyzxoir,2016-09-23,0.775,0.559,8,-5.89,1,0.0417,0.081,0.0,0.219,0.408,100.042,2016-09-23,2016.0,1,2.69,1
0ye0596vik35sp52ba3zpz,tony romera,35,5nrrlhoy2cokbzyt4wfyln,2019-02-08,0.707,0.852,7,-3.897,1,0.0568,0.00687,0.749,0.116,0.426,128.017,2019-02-08,2019.0,1,3.5,1
0yd66650jxhqkbw76c2qco,luke bryan,72,4ybwq0aegffavhulae7q0k,2011-01-01,0.645,0.904,2,-4.532,1,0.0462,0.0293,0.0,0.0834,0.671,105.97,2011-01-01,2011.0,1,3.76,1
0yd0nf2dag04klqjt5llv2,kiss,6,69vin1yalkmb5jaoesgukj,1997-04-08,0.548,0.905,5,-7.237,1,0.0607,0.0381,3.37e-05,0.163,0.457,90.587,1997-04-08,1997.0,1,3.64,1
0ycvaiaqd6xgdonqr5n2fr,zonoma,48,6bqhfat1eouqvfycblyvr0,2016-03-31,0.637,0.863,11,-3.129,1,0.0949,0.0475,1.13e-05,0.202,0.582,94.929,2016-03-31,2016.0,1,3.15,1
0ycplqhbadprxkbhrxeym0,deorro,21,6ausnssix8cmkepvjrgdto,2015-12-18,0.659,0.942,5,-5.695,0,0.0616,0.00212,0.445,0.129,0.112,127.95,2015-12-18,2015.0,1,5.25,1
0ycfqvbtfuo1lcdg0hhszl,lauv,67,26atyi9opdscdknjsoejbw,2020-01-16,0.862,0.4,4,-7.486,1,0.0736,0.00575,7.49e-06,0.123,0.596,122.963,2020-01-16,2020.0,1,3.11,2
0yc10naihtvyqmdb8uc0v5,jay fox,34,6mev75mknudthyjnbbkwrc,2018-12-21,0.696,0.854,2,-4.934,1,0.0336,0.0173,0.000347,0.0928,0.187,120.002,2018-12-21,2018.0,2,3.03,2
0ybxn73dlgqlkf21tnf1t8,ballin entertainment,0,5l1xcowsxwzfusjzvymp48,2008-04-20,0.746,0.792,0,-8.723,0,0.0313,0.162,0.000126,0.0663,0.965,132.042,2008-04-20,2008.0,1,2.43,1
0ybnb2ba5wdh2ydivqzjtw,alamid,51,5q2xkf1nboovym7rol4wei,2012-09-18,0.353,0.357,7,-13.899,1,0.0391,0.399,0.0,0.0845,0.235,76.574,2012-09-18,2012.0,1,5.48,1
0yashwv9x1s57wxe7v0qzz,julian jordan,10,5yvusugutt9d9svidrzbnv,2016-04-18,0.696,0.972,2,-3.731,1,0.24,0.000483,0.00858,0.0713,0.368,127.918,2016-04-18,2016.0,1,2.54,1
0yamn1bb6b5gjwr3evudok,colt ford,13,14jli7wbq1yqegmeuzpikk,2019-05-10,0.574,0.696,7,-5.08,1,0.0413,0.0524,0.0,0.222,0.798,168.219,2019-05-10,2019.0,1,2.56,1
0yammaekyseo9vqyz1ows6,david guetta,78,5rbjtzuxtpip0ykk7ewiit,2018-09-14,0.703,0.66,10,-5.119,0,0.123,0.137,0.0,0.192,0.79,95.031,2018-09-14,2018.0,1,3.32,1
0yac0fphlrh9i9long3f81,keane,73,0mltoic5zykfgez8h3d4rd,2004-01-01,0.517,0.839,0,-3.521,1,0.0287,0.0014,0.000365,0.108,0.416,94.016,2004-01-01,2004.0,1,3.6,1
0y7p1drouegczg4ipiezbh,sydney yungins,55,1vlf22j3g4fqscbvd3kyqi,2019-11-03,0.967,0.627,1,-4.658,1,0.157,0.421,0.0,0.268,0.792,109.017,2019-11-03,2019.0,1,3.41,1
0y6h2j2bdef3qa4g670ewu,sam feldt,55,2qqf72cq3j5d9aewvmgvdx,2017-10-06,0.748,0.742,5,-5.581,0,0.0284,0.0273,1.22e-06,0.206,0.754,119.966,2017-10-06,2017.0,1,3.0,1
0y6d9zztdntz7kozwystno,jemme,47,33zdp9cryhtfgdb9jbns2k,2018-08-10,0.707,0.62,0,-5.402,1,0.081,0.72,0.00109,0.405,0.696,95.955,2018-08-10,2018.0,1,3.56,1
0y675kdleczeudjoel1sqq,lauv,81,1mfxxagwniuz0x1hs9vris,2019-09-19,0.694,0.466,9,-6.758,1,0.0384,0.0934,0.0,0.098,0.246,103.018,2019-09-19,2019.0,2,3.16,2
0y60itmph0apksfigxmtnh,willow,78,0wfne2jijoxjm0qzjd3v5h,2015-01-11,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,2015-01-11,2015.0,1,3.28,1
0y4hwuppbgc8aibmitz30a,liam payne,70,1l5gp3zuu7bvi81oj0vkpt,2018-04-20,0.636,0.805,9,-4.594,1,0.327,0.0161,0.0,0.0793,0.908,92.958,2018-04-20,2018.0,1,3.28,1
0y3eln0dm4b0byqeqgtate,yann muller,53,2ag4dcrrkelx1ghvq0tfvb,2019-12-20,0.83,0.783,6,-5.202,0,0.0981,0.267,0.00111,0.0818,0.649,105.072,2019-12-20,2019.0,1,2.69,1
0y2srbyf4g3kbq2nbehqrn,norman greenbaum,68,52lfk1ml8u7xj1arc8oc22,,0.601,0.643,2,-5.828,1,0.0314,0.112,0.00209,0.088,0.552,128.262,01/01/1979,,2,3.99,2
0y22awfywfpmnhpts4yilk,freeguerrero,18,6ecxfoiz4tbltqajfpmvqe,2019-06-10,0.763,0.84,7,-6.329,0,0.0345,0.263,0.00267,0.111,0.593,120.016,2019-06-10,2019.0,1,3.74,1
0y1qjc3sjvpkj1ovfmfqe6,kaleo,76,4he4squp02heiqdwhzlzlk,2016-06-10,0.489,0.505,10,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,2016-06-10,2016.0,1,3.56,1
0y0tose1q11qgbi7c5wzsg,meek mill,71,2o3okoycub892pugprsaqo,2015-06-29,0.727,0.599,1,-6.941,1,0.327,0.317,0.0,0.219,0.386,167.909,2015-06-29,2015.0,2,3.29,2
0y0jvqslj8j512b5kjkekp,moonchild,49,0gkeq4rkvfewrbrdlejex7,2012-04-27,0.88,0.22,1,-11.51,0,0.471,0.571,0.0437,0.125,0.812,94.112,2012-04-27,2012.0,1,3.72,1
0xzvsnwtkvqgkzlrpqxx8e,jorja smith,50,0aytgzjinpwluxhlslxoot,2016-11-17,0.491,0.614,7,-8.521,0,0.15,0.176,0.0454,0.103,0.215,175.572,2016-11-17,2016.0,1,4.57,1
0xznxalgkrrbm9yi4xjhgi,seeb,5,2rc7dojbpyulzltbr474yn,2017-11-10,0.435,0.843,1,-3.625,0,0.0541,0.168,0.0,0.217,0.434,93.922,2017-11-10,2017.0,1,3.43,1
0xzkemxsixja7vgdfpfu4s,robin thicke,18,2160bnubznqmpebn99dmis,2013-01-01,0.862,0.503,7,-7.703,1,0.0494,0.00453,1.87e-05,0.0761,0.863,119.998,2013-01-01,2013.0,1,4.38,1
0xzgkue9ymcg1k7fj30xix,ludacris,37,1gmj0rx5q6eybybi9eu7vr,2001-01-01,0.625,0.885,11,-5.61,0,0.352,0.137,0.0,0.163,0.712,159.961,2001-01-01,2001.0,1,4.37,1
0xz7c5vzhuxuyz5nwq8tul,onerepublic,0,24rey1t8dfi2vxi6ouvo8j,2013-01-01,0.655,0.949,10,-4.979,1,0.0526,0.00213,0.0727,0.0542,0.376,128.015,2013-01-01,2013.0,1,6.77,1
0xz3dtcdzi01mjkfnzrsc1,steve aoki,66,6pu2vzbz5mxbjcamz9tmka,2018-03-23,0.604,0.964,8,-4.713,1,0.033,0.00016,0.611,0.858,0.078,127.929,2018-03-23,2018.0,1,2.62,1
0xyvhhtd8ons8kqzx7d1on,great good fine ok,30,6ltlfeemj8mkufxxiytq3g,2018-07-13,0.701,0.7,8,-6.634,1,0.0766,0.36,2.87e-05,0.165,0.432,99.954,2018-07-13,2018.0,1,3.64,1
0xyr0utsjzgthdcubqtevz,diamond d,10,799mznbfz6lgrqs8sj6t6i,2007-12-18,0.806,0.613,9,-11.08,0,0.372,0.0545,0.0,0.129,0.688,91.497,2007-12-18,2007.0,1,4.23,1
0xyqwfml0wh2owpcj9qlkb,dubvision,61,1s5xr7mlvozvvl2p8gg3km,2019-09-20,0.661,0.979,1,-4.401,0,0.0812,0.00665,0.234,0.0837,0.683,125.981,2019-09-20,2019.0,1,2.54,1
0xycfqk4tndlom9dfe7tsn,the band,28,5qsfqod1o3p45cyysxlpoo,2000-01-01,0.833,0.704,0,-6.87,1,0.0288,0.675,0.00165,0.328,0.951,92.315,2000-01-01,2000.0,1,3.53,1
0xxfzwomuyh7mfcbc1xfoy,dj dmd,11,4ri0suquvupkcc9tvnuntn,1998-01-01,0.809,0.782,7,-5.422,1,0.24,0.0225,1.66e-05,0.186,0.69,153.806,1998-01-01,1998.0,1,4.23,1
0xxa9bqlqsra8il3hkg0s6,steve modana,46,0aujtowizhgymeeidzv9fs,2019-10-25,0.623,0.823,11,-3.687,0,0.0525,0.285,0.0,0.165,0.635,128.121,2019-10-25,2019.0,1,2.41,1
0xwuww7ovshf1yfuwh3gvd,manuellsen,28,4jkvziyhnkgyfmupq7vac4,2015-08-01,0.506,0.899,7,-6.299,1,0.393,0.00962,0.0,0.379,0.517,81.161,2015-08-01,2015.0,1,2.92,1
0xwrzhmgpe4ignnxv96xzj,imagination,31,7fbf8luvnfmjwkzyfbrvt6,,0.777,0.566,2,-11.514,0,0.0315,0.474,0.0059,0.0539,0.812,112.112,01/01/1982,,1,5.82,1
0xwqqvqa5ftszanrm2oyeo,gaullin,35,3wv4rqyvbmczgqijdkekc7,2018-08-16,0.54,0.601,0,-8.627,1,0.192,0.0907,0.000104,0.0905,0.133,129.144,2018-08-16,2018.0,1,3.66,1
0xw5jg9afglpqfh163thra,krept  konan,40,2p93gdjjbjo51wf4yv3l3d,2019-10-31,0.667,0.672,1,-5.76,0,0.386,0.136,0.0,0.089,0.633,163.563,2019-10-31,2019.0,1,3.58,1
0xw5eek6basnb6gjizddxy,swv,27,3chg0pqjlzxun4dnbqndfp,2014-09-26,0.783,0.562,5,-7.35,1,0.0485,0.111,0.0,0.0757,0.613,126.69,2014-09-26,2014.0,1,4.38,1
0xvrvpn9zr609eecbgjee8,bill aber,23,597iive38duuvlodyie4bo,2019-01-17,0.621,0.791,1,-6.095,1,0.0485,0.00138,0.0374,0.412,0.219,80.002,2019-01-17,2019.0,1,2.65,1
0xvikchfkobvj5zu8xqbwn,real mccoy,41,0m4euhpp4mvnv8awht7t7x,1995-03-28,0.736,0.864,8,-6.567,1,0.0397,0.0179,1.62e-05,0.345,0.763,108.828,1995-03-28,1995.0,1,3.24,1
0xvhj9pxaxvv2b47jizled,trfn,57,6tdhvswvhbjgqbwthrncyd,2018-05-17,0.782,0.579,9,-6.792,1,0.0405,0.505,0.755,0.137,0.0803,124.006,2018-05-17,2018.0,1,2.9,1
0xuxrqjfxmdp6gvfde2z4l,depeche mode,61,0ntg4l6zjosdii94zoyboq,1981-11-02,0.765,0.766,0,-9.374,1,0.0348,0.41,0.0527,0.177,0.923,128.177,1981-11-02,1981.0,1,3.71,1
0xuhyxhooctksxreilaajv,khalid,46,0c0vs4xobimmqpr6kiasde,2018-06-15,0.62,0.282,5,-10.533,0,0.0464,0.694,0.0,0.119,0.193,124.609,2018-06-15,2018.0,1,3.52,1
0xufyu2qvipas6bxspxyg4,usher,0,0vo0b1avy49cpqyvisjlj0,2004-03-08,0.881,0.788,2,-4.669,1,0.168,0.0212,0.0,0.0377,0.592,104.997,2004-03-08,2004.0,1,4.17,1
0xtwi6hrzkhj6lk11f8jgo,daoko,40,0lk0jpbmj0ngjkuypt064p,2020-01-15,0.803,0.863,1,-4.939,1,0.0903,0.00947,0.0136,0.0823,0.467,112.986,2020-01-15,2020.0,1,3.39,1
0xtnjngdypgvxb9qxbuejh,dabin,50,2gujermht6boubifdlu5rn,2019-03-22,0.377,0.566,11,-6.173,1,0.044,0.134,0.0,0.135,0.222,154.875,2019-03-22,2019.0,1,6.09,1
0xtip0lgccn85gfgoeks5l,tame impala,69,79dl7flijfoo0eoehuhqbv,2015-07-17,0.373,0.609,0,-7.0,1,0.0316,0.108,0.000427,0.0755,0.354,179.955,2015-07-17,2015.0,1,4.51,1
0xthawvbdoounjdcev6jq2,bedoes,70,3tnra8ddlypfrdpxkpag5o,2019-11-29,0.782,0.568,2,-8.074,1,0.0772,0.0711,0.0203,0.143,0.454,118.033,2019-11-29,2019.0,1,3.64,1
0xsxkejtgfto8ea2ya41p6,farruko,43,39db2exaz8dgibi034gszc,2019-11-15,0.515,0.878,7,-4.5,1,0.0583,0.337,1.08e-05,0.281,0.942,160.338,2019-11-15,2019.0,1,4.7,1
0xsatu9temtjgyvnldnwo3,secreto el famoso biberon,58,0qwhoobpq9joq09fzr5gtt,2019-12-18,0.933,0.682,6,-4.236,1,0.143,0.0556,0.0,0.143,0.265,99.002,2019-12-18,2019.0,1,3.84,1
0xs2z0e0ox7f4jhykkr4wk,fedde le grand,64,1rrcrllihlm6hfw366vsvp,2019-02-08,0.657,0.976,6,-3.842,0,0.0437,0.171,0.0315,0.318,0.794,125.983,2019-02-08,2019.0,3,2.43,3
0xrsfxbueg5w5rx5ddsnie,clarv,1,0tnon0wrre423lu2jwrqby,2018-10-22,0.709,0.737,1,-6.515,1,0.0359,0.0434,0.736,0.0951,0.707,125.073,2018-10-22,2018.0,1,3.01,1
0xrrshu5curgo859mmcvwf,lany,0,4jjvmxiedbfnbteny1p5ij,2014-04-22,0.323,0.382,10,-9.649,1,0.0342,0.264,0.000418,0.103,0.268,85.306,2014-04-22,2014.0,1,3.86,1
0xrlxvs5zs2ovmnbh8zivh,two sleepy,43,59fnjan27ozz8p7u9izek9,2020-01-07,0.542,0.366,11,-16.079,1,0.0375,0.602,0.871,0.196,0.0551,115.683,2020-01-07,2020.0,1,3.13,1
0xrjftxfxso0zec0zdsxwq,shinedown,56,0dtwiycvtafnjo44qrwwz7,2018-05-04,0.524,0.975,7,-2.914,1,0.0629,0.000443,0.296,0.877,0.58,160.03,2018-05-04,2018.0,1,3.84,1
0xrdequnjlqeidmi3gz3uc,juanes,0,0fp3x2uw9ee3cqwnvejoui,2012-01-01,0.56,0.532,4,-8.341,1,0.0411,0.656,0.0,0.706,0.265,120.161,2012-01-01,2012.0,1,4.93,1
0xr8rb4uorqbmpndeoc7ro,izecold,54,5yvzyxnp2guzuhsfkjlfzc,2016-11-15,0.682,0.936,10,-3.934,0,0.0578,0.00325,0.00555,0.237,0.207,128.023,2016-11-15,2016.0,1,3.84,1
