,track_id,track_popularity,track_album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_album_release_date_converted,playlist_count_per_song,duration_minutes,playlist_genre_count_per_song,track_artist_na,track_album_release_date_na,danceability_na,energy_na,loudness_na,speechiness_na,acousticness_na,track_album_release_year,track_album_release_month,language_category,track_artist_type
11805,1krtfh550kyhfwpcrp6snd,61,3xqjags3zk0wqplg6qdb50,0.6721834617664493,0.886,11,-6.899,1,0.117,7.5e-06,0.024009452460351854,0.0899,0.192,119.285,1979-03-24,1,5.23,1,0,0,1,0,0,0,0,1979,3,Not English,Male
11806,6kzfisycbeuh0f1zgk1uom,9,57gmeh9tkmc1tgs4rcdvhn,0.6721834617664493,0.734,1,-9.379,1,0.0374,0.00079,0.005524710642700101,0.22,0.423,120.55,01/01/1973,1,5.97,1,0,1,1,0,0,0,0,2020,1,Not English,Male
11808,5lniqeqpdc8tuqpy79kdbu,61,3s404ogkovqsj3xxrdvlp8,0.591,0.804,0,-7.299,1,0.0454,0.327,5.979982119943321e-06,0.0818,0.658,111.457,2016-11-04,1,5.49,1,0,0,0,0,0,0,0,2016,11,English,Male
11809,7n3pabqftjseu1edb2ty8j,78,3reuxdj5opkhudtrttcbu0,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000375929329714062,0.0702,0.796,129.994,1984-01-04,2,4.03,2,0,0,0,0,0,0,0,1984,1,Not English,Female
11810,6zee5tkyr8nu882dqhhsqi,77,6ou298pdptcqnmx1pywyua,0.475,0.7347140853536365,7,-6.1344981830618615,1,0.0283,0.367,0.0005598432585139854,0.11,0.387,93.503,01/01/1977,3,3.44,3,0,1,0,1,1,0,0,2020,1,English,Male
11811,1dv3epjze9tpq2pk8ewjdr,22,0c78nsgqx6vfnisnwixwod,0.63,0.616,1,-8.128,0,0.0309,0.09201242508262543,0.03998964821615841,0.173,0.509,118.65,1969-12-05,2,4.51,2,0,0,0,0,0,0,1,1969,12,Not English,Male
11812,7ihkwf9zpiyklu7cxhxyt9,22,1hgw1wqnsca8ixuemtfauy,0.766,0.7347140853536365,2,-6.1344981830618615,1,0.0867,0.25,0.0007037523082432184,0.318,0.743,119.774,2008-01-01,2,5.55,2,0,0,0,1,1,0,0,2008,1,English,Male
11813,3aodet6zsuyq47gzarlavo,15,3a0uogdww2ptajw85qpmiz,0.469,0.537,9,-6.1344981830618615,1,0.152,0.0241,0.002007982652793016,0.269,0.783,124.193,1973-03-16,2,6.38,2,0,0,0,0,1,0,0,1973,3,English,Male
11814,1qra5bs78u3gme0loml9aa,73,3pkdgrrulnj9zctanidrpb,0.653,0.519,2,-6.1344981830618615,1,0.0497,0.09201242508262543,0.020684591192832603,0.101,0.822,98.883,1966-12-05,3,2.56,3,0,0,0,0,1,0,1,1966,12,English,Male
11815,2kmegiy8fqs0g6wnxtzqkr,22,5tqjnaju163mfklip6dtyu,0.489,0.724,5,-8.367,1,0.0352,0.313,0.16974277458709455,0.287,0.15,117.292,1971-08-14,2,5.01,2,0,0,0,0,0,0,0,1971,8,Not English,Male
11816,1zgk1kgaxcpg6phjgule4j,18,5v71shqyacjpbhllslmk7i,0.543,0.715,2,-8.89,1,0.0356,0.0192,0.0,0.256,0.468,124.011,1969-05-23,2,3.02,2,0,0,0,0,0,0,0,1969,5,Not English,Male
11817,3sy6z4pgcxpmwx3w026wtu,12,01oahktprcledjobtrk7st,0.6721834617664493,0.677,4,-6.183,1,0.0343,0.000989,9.649534417446622e-05,0.211,0.683,127.67,01/01/1976,2,5.06,2,0,1,1,0,0,0,0,2020,1,English,Male
11818,6ktv0z8bmvqm7dpxbgzpvc,75,1ycc4ozxg2zgn7pvskvlgf,0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774,1975-03-19,2,2.81,2,0,0,0,0,0,0,0,1975,3,English,Male
11819,3ioqzrcekplcxg6lofkqe9,66,6r7lzxavues5dqdrvxjjk7,0.6721834617664493,0.792,9,-6.1344981830618615,1,0.0848,0.00349,0.001778417677411105,0.0437,0.425,155.588,1970-09-18,2,5.92,2,0,0,1,0,1,0,0,1970,9,English,Male
11820,7ar4g7ci11gpt6sfh9cgz5,75,2x1yi30lswjuobj1kmovnm,0.645,0.598,1,-6.1344981830618615,0,0.0335,0.221,3.529993769649516e-06,0.0721,0.913,105.929,01/01/1972,3,3.79,3,0,1,0,0,1,0,0,2020,1,English,Male
11821,5ecvzboymdifxo9gpplssb,16,1wda6r4advrjalp0gjcoxv,0.638,0.931,0,-3.605,1,0.0363,0.228,0.00029495649605549966,0.0524,0.965,128.662,1971-04-23,2,3.81,2,0,0,0,0,0,0,0,1971,4,English,Male
11822,0n0q5d8kmh13mmodxjsjqs,14,6yp72taeol8sg1tgficjra,0.6721834617664493,0.706,7,-5.526,1,0.0348,0.254,0.0069060979140996535,0.125,0.54,164.022,01/01/1973,2,6.02,2,0,1,1,0,0,0,0,2020,1,Not English,Band
11823,4zau4qvgyxwiwq5kqrwl43,64,2qzleq9ksfexihqkjf3vkd,0.504,0.719,1,-9.155,0,0.0431,0.00878,0.001488891051418914,0.075,0.177,102.144,2008-10-22,1,6.45,1,0,0,0,0,0,0,0,2008,10,Not English,Male
11824,7ilgljk0lnpgamqqeoucrc,15,5tqjnaju163mfklip6dtyu,0.686,0.92,2,-6.231,1,0.0566,0.301,0.23901690047049992,0.0807,0.225,135.027,1971-08-14,2,8.52,2,0,0,0,0,0,0,0,1971,8,English,Male
