,Outlier count,Percent
playlist_genre_count_per_song,7643.0,23.278408917857035
instrumentalness,7030.0,21.411384887156217
playlist_count_per_song,6933.0,21.11595041574026
speechiness,3176.0,9.673194651722353
acousticness,2205.0,6.715804221362653
liveness,1843.0,5.613254956903116
duration_minutes,1359.0,4.1391283160235135
loudness,1021.0,3.1096762403679223
tempo,571.0,1.7391039502939114
danceability,291.0,0.8863034142478604
energy,277.0,0.8436633874455578
